Attack,AttackIntensity,Distance,Stations,PayloadSize,LoadFactor,MCS,ChannelWidth,GI,Throughput,TxPackets,RxPackets,LostPackets,PacketLossRate,Delay,Jitter
dos,extreme,20,20,700,1,3,80,3200,99.9757,7361616,178528,7147200,97.0874,6466,41
dos,extreme,20,20,700,1,3,160,800,208.878,7657576,372997,7215843,94.2314,3185,18
dos,extreme,20,20,700,1,3,160,3200,182.731,7580356,326306,7193918,94.9021,3691,18
dos,extreme,20,20,700,1,7,20,800,72.1745,7296496,128883,7138149,97.8298,5053,64
dos,extreme,20,20,700,1,7,20,3200,61.875,7273456,110491,7136835,98.1216,4343,67
dos,extreme,20,20,700,1,7,80,800,93.0479,7786256,166157,7537824,96.8094,3694,47
dos,extreme,20,20,700,1,7,80,3200,84.3007,7689736,150537,7467174,97.1057,4275,50
dos,extreme,20,20,700,1,7,160,800,356.238,8429636,636140,10,0.000118629,20,0
dos,extreme,20,20,700,1,7,160,3200,302.801,8236616,540716,10,0.000121409,21,0
dos,extreme,20,20,700,1,11,20,800,70.8943,7398896,126597,10,0.000135155,25,10
dos,extreme,20,20,700,1,11,20,3200,59.0414,7360496,105431,10,0.00013586,23,10
dos,extreme,20,20,700,1,11,80,800,299.82,8215176,535392,10,0.000121726,20,0
dos,extreme,20,20,700,1,11,80,3200,247.185,8054316,441401,10,0.000124157,23,0
dos,extreme,20,20,700,1,11,160,800,593.722,9287476,1060218,18,0.000193809,20,0
dos,extreme,20,20,700,1,11,160,3200,504.64,8965796,901143,16,0.000178456,20,0
occupancy,low,1,2,700,1,3,20,800,24.677,144783,44066,89950,62.1275,2885,1
occupancy,low,1,2,700,1,3,20,3200,20.9591,135567,37427,87394,64.4655,3264,1
occupancy,low,1,2,700,1,3,80,800,101.959,340687,182070,147887,43.4085,918,0
occupancy,low,1,2,700,1,3,80,3200,87.4339,302083,156132,135212,44.7599,1036,0
occupancy,low,1,2,700,1,3,160,800,192.366,598041,343510,243711,40.7516,573,0
occupancy,low,1,2,700,1,3,160,3200,166.274,520837,296918,213117,40.9182,636,0
occupancy,low,1,2,700,1,7,20,800,62.0099,236957,110732,115504,48.7447,1368,0
occupancy,low,1,2,700,1,7,20,3200,52.6882,213915,94086,109095,50.9992,1563,0
occupancy,low,1,2,700,1,7,80,800,234.269,726711,418338,297532,40.9423,397,0
occupancy,low,1,2,700,1,7,80,3200,203.237,630215,362923,256441,40.691,551,0
occupancy,low,1,2,700,1,7,160,800,444.055,1370087,792956,566138,41.3213,173,0
occupancy,low,1,2,700,1,7,160,3200,385.771,1177067,688876,477240,40.5448,203,0
occupancy,low,1,2,700,1,11,20,800,101.337,339373,180959,147634,43.502,921,0
occupancy,low,1,2,700,1,11,20,3200,86.8924,300969,155165,135023,44.8628,1040,0
occupancy,low,1,2,700,1,11,80,800,380.031,1155663,678626,466104,40.3322,207,0
occupancy,low,1,2,700,1,11,80,3200,326.764,994787,583508,400374,40.2472,243,0
occupancy,low,1,2,700,1,11,160,800,661.324,2227877,1180935,1035712,46.4887,105,0
occupancy,low,1,2,700,1,11,160,3200,587.723,1906321,1049506,845630,44.3593,122,0
occupancy,low,20,2,700,1,3,20,800,24.677,144783,44066,89950,62.1275,2885,1
occupancy,low,20,2,700,1,3,20,3200,20.9591,135567,37427,87394,64.4655,3264,1
occupancy,low,20,2,700,1,3,80,800,101.959,340687,182070,147887,43.4085,918,0
occupancy,low,20,2,700,1,3,80,3200,87.4339,302083,156132,135212,44.7599,1036,0
occupancy,low,20,2,700,1,3,160,800,192.366,598041,343510,243711,40.7516,573,0
